"Permitir_Inmigrantes_Etnicos","Permitir_Inmigrantes_Pobres","Impacto_Economico_Inmigracion","Impacto_Cultural_Inmigracion","Impacto_Calidad_Vida_Inmigracion","Edad_Encuestado","Anios_Educacion_Completados","Satisfaccion_Ingresos_Hogar","Pais","Genero","Tipo_Domicilio","Rango_Edad","Region_Geografica","Nivel_Educacion_Agrupado"
2,3,7,3,5,65,12,1,"Austria","Male","Town or small city","Adultos Mayores (60-74)","Europa Occidental","Educación Secundaria"
2,2,6,5,9,21,14,2,"Austria","Female","A big city","Jóvenes (15-29)","Europa Occidental","Educación Secundaria"
1,1,9,9,8,53,16,1,"Austria","Female","Town or small city","Adultos (45-59)","Europa Occidental","Educación Técnica o Profesional"
2,2,6,6,5,78,14,2,"Austria","Female","A big city","Ancianos (75-90)","Europa Occidental","Educación Secundaria"
1,2,10,10,10,64,12,2,"Austria","Male","Country village","Adultos Mayores (60-74)","Europa Occidental","Educación Secundaria"
3,3,5,6,6,59,16,1,"Austria","Female","Country village","Adultos (45-59)","Europa Occidental","Educación Técnica o Profesional"
2,3,6,8,7,69,17,1,"Austria","Female","Country village","Adultos Mayores (60-74)","Europa Occidental","Educación Técnica o Profesional"
3,3,7,5,5,52,12,2,"Austria","Female","Country village","Adultos (45-59)","Europa Occidental","Educación Secundaria"
2,3,5,0,0,75,9,2,"Austria","Female","Country village","Ancianos (75-90)","Europa Occidental","Educación Primaria"
3,3,6,6,6,44,17,2,"Austria","Female","A big city","Adultos Jóvenes (30-44)","Europa Occidental","Educación Técnica o Profesional"
2,2,10,8,6,49,14,2,"Austria","Male","Town or small city","Adultos (45-59)","Europa Occidental","Educación Secundaria"
3,4,8,10,7,67,11,1,"Austria","Female","A big city","Adultos Mayores (60-74)","Europa Occidental","Educación Primaria"
2,2,8,5,5,41,13,1,"Austria","Male","Country village","Adultos Jóvenes (30-44)","Europa Occidental","Educación Secundaria"
2,3,5,5,5,82,12,1,"Austria","Female","Town or small city","Ancianos (75-90)","Europa Occidental","Educación Secundaria"
1,1,7,7,7,26,11,1,"Austria","Male","Country village","Jóvenes (15-29)","Europa Occidental","Educación Primaria"
3,4,6,4,4,85,14,1,"Austria","Female","Country village","Ancianos (75-90)","Europa Occidental","Educación Secundaria"
2,2,6,6,5,72,11,1,"Austria","Male","Farm or home in countryside","Adultos Mayores (60-74)","Europa Occidental","Educación Primaria"
4,4,1,1,1,47,14,1,"Austria","Male","Country village","Adultos (45-59)","Europa Occidental","Educación Secundaria"
2,2,6,6,5,50,11,2,"Austria","Female","Town or small city","Adultos (45-59)","Europa Occidental","Educación Primaria"
3,3,5,7,4,60,12,1,"Austria","Female","A big city","Adultos Mayores (60-74)","Europa Occidental","Educación Secundaria"
3,4,6,5,5,43,16,2,"Austria","Female","Country village","Adultos Jóvenes (30-44)","Europa Occidental","Educación Técnica o Profesional"
2,3,5,0,0,41,12,2,"Austria","Female","Country village","Adultos Jóvenes (30-44)","Europa Occidental","Educación Secundaria"
2,2,5,5,7,49,9,2,"Austria","Female","Country village","Adultos (45-59)","Europa Occidental","Educación Primaria"
3,2,8,8,7,46,18,2,"Austria","Male","A big city","Adultos (45-59)","Europa Occidental","Educación Técnica o Profesional"
3,4,5,4,5,81,9,2,"Austria","Female","Country village","Ancianos (75-90)","Europa Occidental","Educación Primaria"
3,3,5,5,4,57,11,2,"Austria","Female","A big city","Adultos (45-59)","Europa Occidental","Educación Primaria"
2,2,8,8,8,67,12,2,"Austria","Female","A big city","Adultos Mayores (60-74)","Europa Occidental","Educación Secundaria"
2,3,7,5,3,42,11,1,"Austria","Female","A big city","Adultos Jóvenes (30-44)","Europa Occidental","Educación Primaria"
2,3,7,3,3,59,9,2,"Austria","Female","Farm or home in countryside","Adultos (45-59)","Europa Occidental","Educación Primaria"
3,3,8,5,5,77,8,1,"Austria","Male","Town or small city","Ancianos (75-90)","Europa Occidental","Educación Primaria"
3,4,8,3,4,58,12,2,"Austria","Male","Country village","Adultos (45-59)","Europa Occidental","Educación Secundaria"
3,3,4,0,0,38,12,3,"Austria","Female","Country village","Adultos Jóvenes (30-44)","Europa Occidental","Educación Secundaria"
3,3,5,5,5,79,12,2,"Austria","Female","A big city","Ancianos (75-90)","Europa Occidental","Educación Secundaria"
2,2,9,9,9,34,12,1,"Austria","Female","Country village","Adultos Jóvenes (30-44)","Europa Occidental","Educación Secundaria"
2,3,5,7,5,74,17,2,"Austria","Male","A big city","Adultos Mayores (60-74)","Europa Occidental","Educación Técnica o Profesional"
1,2,6,7,5,36,15,2,"Austria","Female","Country village","Adultos Jóvenes (30-44)","Europa Occidental","Educación Técnica o Profesional"
2,2,5,5,5,28,12,3,"Austria","Male","Town or small city","Jóvenes (15-29)","Europa Occidental","Educación Secundaria"
3,2,5,5,5,42,9,2,"Austria","Female","Country village","Adultos Jóvenes (30-44)","Europa Occidental","Educación Primaria"
2,2,6,5,5,60,20,3,"Austria","Male","Town or small city","Adultos Mayores (60-74)","Europa Occidental","Educación Universitaria y Posgrado"
1,2,8,8,8,60,12,2,"Austria","Male","Country village","Adultos Mayores (60-74)","Europa Occidental","Educación Secundaria"
4,4,3,5,3,16,10,2,"Austria","Female","Country village","Jóvenes (15-29)","Europa Occidental","Educación Primaria"
4,4,2,3,1,28,14,2,"Austria","Male","Town or small city","Jóvenes (15-29)","Europa Occidental","Educación Secundaria"
